"timestamp","message"
"2023-05-22 15:16:36 GMT+0300","21111"
"2023-05-22 15:16:34 GMT+0300","12111"
"2023-05-22 15:16:32 GMT+0300","11211"
"2023-05-22 15:16:30 GMT+0300","21121"
"2023-05-22 15:16:28 GMT+0300","12112"
"2023-05-22 15:16:26 GMT+0300","11211"
"2023-05-22 15:16:24 GMT+0300","11121"
"2023-05-22 15:16:22 GMT+0300","11112"
"2023-05-22 15:16:20 GMT+0300","11111"
"2023-05-22 15:16:18 GMT+0300","21111"
"2023-05-22 15:16:16 GMT+0300","22111"
"2023-05-22 15:16:14 GMT+0300","22211"
"2023-05-22 15:16:12 GMT+0300","12221"
"2023-05-22 15:16:10 GMT+0300","21222"
"2023-05-22 15:16:08 GMT+0300","22122"
"2023-05-22 15:16:06 GMT+0300","12212"
"2023-05-22 15:16:04 GMT+0300","21221"
"2023-05-22 15:16:02 GMT+0300","12122"
"2023-05-22 15:16:00 GMT+0300","11212"
"2023-05-22 15:15:58 GMT+0300","21121"
"2023-05-22 15:15:57 GMT+0300","22112"
"2023-05-22 15:15:54 GMT+0300","22211"
"2023-05-22 15:15:52 GMT+0300","22221"
"2023-05-22 15:15:50 GMT+0300","22222"
"2023-05-22 15:15:48 GMT+0300","12222"
"2023-05-22 15:15:47 GMT+0300","21222"
"2023-05-22 15:15:44 GMT+0300","22122"
"2023-05-22 15:15:42 GMT+0300","12212"
"2023-05-22 15:15:40 GMT+0300","21221"
"2023-05-22 15:15:38 GMT+0300","22122"
"2023-05-22 15:15:36 GMT+0300","12212"
"2023-05-22 15:15:34 GMT+0300","21221"
"2023-05-22 15:15:32 GMT+0300","12122"
"2023-05-22 15:15:30 GMT+0300","21212"
"2023-05-22 15:15:28 GMT+0300","22121"
"2023-05-22 15:15:26 GMT+0300","22212"
"2023-05-22 15:15:24 GMT+0300","12221"
"2023-05-22 15:15:23 GMT+0300","11222"
"2023-05-22 15:15:20 GMT+0300","11122"
"2023-05-22 15:15:18 GMT+0300","21112"
"2023-05-22 15:15:16 GMT+0300","12111"
"2023-05-22 15:15:15 GMT+0300","21211"
"2023-05-22 15:15:13 GMT+0300","22121"
"2023-05-22 15:15:10 GMT+0300","22212"
"2023-05-22 15:15:09 GMT+0300","12221"
"2023-05-22 15:15:09 GMT+0300","21222"
"2023-05-22 15:15:09 GMT+0300","22122"
"2023-05-22 15:15:08 GMT+0300","22212"
"2023-05-22 15:15:08 GMT+0300","12221"
"2023-05-22 15:14:58 GMT+0300","21222"
"2023-05-22 15:14:56 GMT+0300","12122"
"2023-05-22 15:14:54 GMT+0300","21212"
"2023-05-22 15:14:52 GMT+0300","22121"
"2023-05-22 15:14:50 GMT+0300","22212"
"2023-05-22 15:14:48 GMT+0300","12221"
"2023-05-22 15:14:46 GMT+0300","11222"
"2023-05-22 15:14:44 GMT+0300","11122"
"2023-05-22 15:14:42 GMT+0300","21112"
"2023-05-22 15:14:40 GMT+0300","12111"
"2023-05-22 15:14:38 GMT+0300","11211"
"2023-05-22 15:14:36 GMT+0300","21121"
"2023-05-22 15:14:34 GMT+0300","12112"
"2023-05-22 15:14:32 GMT+0300","11211"
"2023-05-22 15:14:30 GMT+0300","21121"
"2023-05-22 15:14:28 GMT+0300","12112"
"2023-05-22 15:14:26 GMT+0300","21211"
"2023-05-22 15:14:24 GMT+0300","12121"
"2023-05-22 15:14:22 GMT+0300","11212"
"2023-05-22 15:14:20 GMT+0300","21121"
"2023-05-22 15:14:18 GMT+0300","12112"
"2023-05-22 15:14:16 GMT+0300","21211"
"2023-05-22 15:14:14 GMT+0300","12121"
"2023-05-22 15:14:12 GMT+0300","11212"
"2023-05-22 15:14:10 GMT+0300","21121"
"2023-05-22 15:14:08 GMT+0300","22112"
"2023-05-22 15:14:06 GMT+0300","12211"
"2023-05-22 15:14:04 GMT+0300","21221"
"2023-05-22 15:14:02 GMT+0300","22122"
"2023-05-22 15:14:00 GMT+0300","12212"
"2023-05-22 15:13:58 GMT+0300","11221"
"2023-05-22 15:13:56 GMT+0300","11122"
"2023-05-22 15:13:54 GMT+0300","21112"
"2023-05-22 15:13:52 GMT+0300","12111"
"2023-05-22 15:13:50 GMT+0300","11211"
"2023-05-22 15:13:48 GMT+0300","21121"
"2023-05-22 15:13:46 GMT+0300","22112"
"2023-05-22 15:13:44 GMT+0300","22211"
"2023-05-22 15:13:42 GMT+0300","22221"
"2023-05-22 15:13:40 GMT+0300","12222"
"2023-05-22 15:13:38 GMT+0300","21222"
"2023-05-22 15:13:36 GMT+0300","12122"
"2023-05-22 15:13:34 GMT+0300","21212"
"2023-05-22 15:13:32 GMT+0300","12121"
"2023-05-22 15:13:30 GMT+0300","21212"
"2023-05-22 15:13:28 GMT+0300","22121"
"2023-05-22 15:13:26 GMT+0300","22212"
"2023-05-22 15:13:24 GMT+0300","22221"
"2023-05-22 15:13:22 GMT+0300","12222"
"2023-05-22 15:13:20 GMT+0300","11222"
"2023-05-22 15:13:18 GMT+0300","11122"
"2023-05-22 15:13:16 GMT+0300","21112"
"2023-05-22 15:13:14 GMT+0300","12111"
"2023-05-22 15:13:12 GMT+0300","11211"
"2023-05-22 15:13:10 GMT+0300","11121"
"2023-05-22 15:13:08 GMT+0300","11112"
"2023-05-22 15:13:06 GMT+0300","21111"
"2023-05-22 15:13:04 GMT+0300","22111"
"2023-05-22 15:13:02 GMT+0300","22211"
"2023-05-22 15:13:00 GMT+0300","22221"
"2023-05-22 15:12:58 GMT+0300","12222"
"2023-05-22 15:12:56 GMT+0300","11222"
"2023-05-22 15:12:54 GMT+0300","21122"
"2023-05-22 15:12:52 GMT+0300","22112"
"2023-05-22 15:12:50 GMT+0300","22211"
"2023-05-22 15:12:48 GMT+0300","12221"
"2023-05-22 15:12:46 GMT+0300","21222"
"2023-05-22 15:12:44 GMT+0300","12122"
"2023-05-22 15:12:42 GMT+0300","11212"
"2023-05-22 15:12:40 GMT+0300","11121"
"2023-05-22 15:12:38 GMT+0300","11112"
"2023-05-22 15:12:36 GMT+0300","21111"
"2023-05-22 15:12:34 GMT+0300","22111"
"2023-05-22 15:12:32 GMT+0300","12211"
"2023-05-22 15:12:30 GMT+0300","21221"
"2023-05-22 15:12:28 GMT+0300","22122"
"2023-05-22 15:12:26 GMT+0300","22212"
"2023-05-22 15:12:24 GMT+0300","22221"
"2023-05-22 15:12:22 GMT+0300","22222"
"2023-05-22 15:12:21 GMT+0300","22222"
"2023-05-22 15:12:18 GMT+0300","12222"
"2023-05-22 15:12:16 GMT+0300","11222"
"2023-05-22 15:12:14 GMT+0300","11122"
"2023-05-22 15:12:12 GMT+0300","21112"
"2023-05-22 15:12:10 GMT+0300","12111"
"2023-05-22 15:12:08 GMT+0300","21211"
"2023-05-22 15:12:06 GMT+0300","12121"
"2023-05-22 15:12:04 GMT+0300","11212"
"2023-05-22 15:12:02 GMT+0300","21121"
"2023-05-22 15:12:00 GMT+0300","22112"
"2023-05-22 15:11:58 GMT+0300","12211"
"2023-05-22 15:11:56 GMT+0300","21221"
"2023-05-22 15:11:54 GMT+0300","12122"
"2023-05-22 15:11:52 GMT+0300","21212"
"2023-05-22 15:11:50 GMT+0300","22121"
"2023-05-22 15:11:48 GMT+0300","22212"
"2023-05-22 15:11:46 GMT+0300","22221"
"2023-05-22 15:11:44 GMT+0300","12222"
"2023-05-22 15:11:42 GMT+0300","21222"
"2023-05-22 15:11:40 GMT+0300","22122"
"2023-05-22 15:11:38 GMT+0300","12212"
"2023-05-22 15:11:36 GMT+0300","11221"
"2023-05-22 15:11:34 GMT+0300","11122"
"2023-05-22 15:11:32 GMT+0300","21112"
"2023-05-22 15:11:30 GMT+0300","12111"
"2023-05-22 15:11:28 GMT+0300","11211"
"2023-05-22 15:11:26 GMT+0300","11121"
"2023-05-22 15:11:24 GMT+0300","21112"
"2023-05-22 15:11:22 GMT+0300","12111"
"2023-05-22 15:11:20 GMT+0300","21211"
"2023-05-22 15:11:18 GMT+0300","22121"
"2023-05-22 15:11:16 GMT+0300","22212"
"2023-05-22 15:11:14 GMT+0300","22221"
"2023-05-22 15:11:12 GMT+0300","22222"
"2023-05-22 15:11:10 GMT+0300","12222"
"2023-05-22 15:11:08 GMT+0300","11222"
"2023-05-22 15:11:06 GMT+0300","21122"
"2023-05-22 15:11:04 GMT+0300","12112"
"2023-05-22 15:11:02 GMT+0300","11211"
"2023-05-22 15:11:00 GMT+0300","11121"
"2023-05-22 15:10:58 GMT+0300","11112"
"2023-05-22 15:10:57 GMT+0300","21111"
"2023-05-22 15:10:54 GMT+0300","12111"
"2023-05-22 15:10:52 GMT+0300","21211"
"2023-05-22 15:10:50 GMT+0300","22121"
"2023-05-22 15:10:48 GMT+0300","12212"
"2023-05-22 15:10:46 GMT+0300","21221"
"2023-05-22 15:10:44 GMT+0300","22122"
"2023-05-22 15:10:42 GMT+0300","22212"
"2023-05-22 15:10:40 GMT+0300","22221"
"2023-05-22 15:10:38 GMT+0300","12222"
"2023-05-22 15:10:36 GMT+0300","21222"
"2023-05-22 15:10:34 GMT+0300","12122"
"2023-05-22 15:10:32 GMT+0300","11212"
"2023-05-22 15:10:30 GMT+0300","11121"
"2023-05-22 15:10:28 GMT+0300","11112"
"2023-05-22 15:10:26 GMT+0300","21111"
"2023-05-22 15:10:24 GMT+0300","12111"
"2023-05-22 15:10:22 GMT+0300","11211"
"2023-05-22 15:10:20 GMT+0300","21121"
"2023-05-22 15:10:18 GMT+0300","22112"
"2023-05-22 15:10:16 GMT+0300","22211"
"2023-05-22 15:10:14 GMT+0300","12221"
"2023-05-22 15:10:12 GMT+0300","21222"
"2023-05-22 15:10:10 GMT+0300","22122"
"2023-05-22 15:10:09 GMT+0300","22212"
"2023-05-22 15:10:06 GMT+0300","12221"
"2023-05-22 15:10:04 GMT+0300","21222"
"2023-05-22 15:10:02 GMT+0300","22122"
"2023-05-22 15:10:00 GMT+0300","12212"
"2023-05-22 15:09:58 GMT+0300","21221"
"2023-05-22 15:09:56 GMT+0300","22122"
"2023-05-22 15:09:54 GMT+0300","12212"
"2023-05-22 15:09:52 GMT+0300","11221"
"2023-05-22 15:09:50 GMT+0300","21122"
"2023-05-22 15:09:48 GMT+0300","22112"
"2023-05-22 15:09:46 GMT+0300","22211"
"2023-05-22 15:09:44 GMT+0300","12221"
"2023-05-22 15:09:42 GMT+0300","11222"
"2023-05-22 15:09:40 GMT+0300","11122"
"2023-05-22 15:09:38 GMT+0300","11112"
"2023-05-22 15:09:36 GMT+0300","11111"
"2023-05-22 15:09:34 GMT+0300","21111"
"2023-05-22 15:09:32 GMT+0300","12111"
"2023-05-22 15:09:30 GMT+0300","21211"
"2023-05-22 15:09:28 GMT+0300","12121"
"2023-05-22 15:09:26 GMT+0300","11212"
"2023-05-22 15:09:24 GMT+0300","11121"
"2023-05-22 15:09:22 GMT+0300","21112"
"2023-05-22 15:09:20 GMT+0300","12111"
"2023-05-22 15:09:18 GMT+0300","21211"
"2023-05-22 15:09:16 GMT+0300","22121"
"2023-05-22 15:09:14 GMT+0300","12212"
"2023-05-22 15:09:12 GMT+0300","11221"
"2023-05-22 15:09:10 GMT+0300","11122"
"2023-05-22 15:09:08 GMT+0300","21112"
"2023-05-22 15:09:06 GMT+0300","22111"
"2023-05-22 15:09:04 GMT+0300","12211"
"2023-05-22 15:09:02 GMT+0300","11221"
"2023-05-22 15:09:00 GMT+0300","11122"
"2023-05-22 15:08:58 GMT+0300","21112"
"2023-05-22 15:08:56 GMT+0300","12111"
"2023-05-22 15:08:54 GMT+0300","21211"
"2023-05-22 15:08:52 GMT+0300","12121"
"2023-05-22 15:08:50 GMT+0300","21212"
"2023-05-22 15:08:48 GMT+0300","22121"
"2023-05-22 15:08:46 GMT+0300","22212"
"2023-05-22 15:08:44 GMT+0300","22221"
"2023-05-22 15:08:42 GMT+0300","12222"
"2023-05-22 15:08:40 GMT+0300","21222"
"2023-05-22 15:08:38 GMT+0300","22122"
"2023-05-22 15:08:36 GMT+0300","12212"
"2023-05-22 15:08:34 GMT+0300","21221"
"2023-05-22 15:08:32 GMT+0300","12122"
"2023-05-22 15:08:30 GMT+0300","21212"
"2023-05-22 15:08:28 GMT+0300","12121"
"2023-05-22 15:08:26 GMT+0300","11212"
"2023-05-22 15:08:24 GMT+0300","21121"
"2023-05-22 15:08:22 GMT+0300","22112"
"2023-05-22 15:08:20 GMT+0300","22211"
"2023-05-22 15:08:18 GMT+0300","12221"
"2023-05-22 15:08:16 GMT+0300","21222"
"2023-05-22 15:08:14 GMT+0300","12122"
"2023-05-22 15:08:12 GMT+0300","21212"
"2023-05-22 15:08:10 GMT+0300","12121"
"2023-05-22 15:08:08 GMT+0300","21212"
"2023-05-22 15:08:06 GMT+0300","22121"
"2023-05-22 15:08:04 GMT+0300","22212"
"2023-05-22 15:08:02 GMT+0300","22221"
"2023-05-22 15:08:00 GMT+0300","22222"
"2023-05-22 15:07:58 GMT+0300","22222"
"2023-05-22 15:07:56 GMT+0300","12222"
"2023-05-22 15:07:54 GMT+0300","21222"
"2023-05-22 15:07:52 GMT+0300","12122"
"2023-05-22 15:07:50 GMT+0300","11212"
"2023-05-22 15:07:48 GMT+0300","21121"
"2023-05-22 15:07:46 GMT+0300","12112"
"2023-05-22 15:07:44 GMT+0300","21211"
"2023-05-22 15:07:42 GMT+0300","22121"
"2023-05-22 15:07:40 GMT+0300","22212"
"2023-05-22 15:07:38 GMT+0300","12221"
"2023-05-22 15:07:36 GMT+0300","11222"
"2023-05-22 15:07:34 GMT+0300","21122"
"2023-05-22 15:07:32 GMT+0300","12112"
"2023-05-22 15:07:30 GMT+0300","21211"
"2023-05-22 15:07:28 GMT+0300","22121"
"2023-05-22 15:07:26 GMT+0300","12212"
"2023-05-22 15:07:24 GMT+0300","21221"
"2023-05-22 15:07:22 GMT+0300","12122"
"2023-05-22 15:07:20 GMT+0300","11212"
"2023-05-22 15:07:18 GMT+0300","21121"
"2023-05-22 15:07:16 GMT+0300","22112"
"2023-05-22 15:07:14 GMT+0300","22211"
"2023-05-22 15:07:12 GMT+0300","12221"
"2023-05-22 15:07:10 GMT+0300","11222"
"2023-05-22 15:07:08 GMT+0300","11122"
"2023-05-22 15:07:06 GMT+0300","11112"
"2023-05-22 15:07:04 GMT+0300","11111"
"2023-05-22 15:07:02 GMT+0300","21111"
"2023-05-22 15:07:00 GMT+0300","12111"
"2023-05-22 15:06:58 GMT+0300","11211"
"2023-05-22 15:06:56 GMT+0300","21121"
"2023-05-22 15:06:54 GMT+0300","22112"
"2023-05-22 15:06:52 GMT+0300","12211"
"2023-05-22 15:06:50 GMT+0300","11221"
"2023-05-22 15:06:48 GMT+0300","21122"
"2023-05-22 15:06:46 GMT+0300","12112"
"2023-05-22 15:06:44 GMT+0300","21211"
"2023-05-22 15:06:42 GMT+0300","12121"
"2023-05-22 15:06:40 GMT+0300","11212"
"2023-05-22 15:06:38 GMT+0300","21121"
"2023-05-22 15:06:36 GMT+0300","22112"
"2023-05-22 15:06:34 GMT+0300","12211"
"2023-05-22 15:06:32 GMT+0300","21221"
"2023-05-22 15:06:30 GMT+0300","12122"
"2023-05-22 15:06:28 GMT+0300","11212"
"2023-05-22 15:06:26 GMT+0300","11121"
"2023-05-22 15:06:24 GMT+0300","21112"
"2023-05-22 15:06:22 GMT+0300","22111"
"2023-05-22 15:06:20 GMT+0300","22211"
"2023-05-22 15:06:18 GMT+0300","22221"
"2023-05-22 15:06:16 GMT+0300","22222"
"2023-05-22 15:06:14 GMT+0300","22222"
"2023-05-22 15:06:12 GMT+0300","22222"
"2023-05-22 15:06:10 GMT+0300","12222"
"2023-05-22 15:06:08 GMT+0300","21222"
"2023-05-22 15:06:07 GMT+0300","12122"
"2023-05-22 15:06:04 GMT+0300","11212"
"2023-05-22 15:06:02 GMT+0300","21121"
"2023-05-22 15:06:00 GMT+0300","22112"
"2023-05-22 15:05:58 GMT+0300","22211"
"2023-05-22 15:05:56 GMT+0300","22221"
"2023-05-22 15:05:54 GMT+0300","22222"
"2023-05-22 15:05:53 GMT+0300","22222"
"2023-05-22 15:05:50 GMT+0300","22222"
"2023-05-22 15:05:48 GMT+0300","22222"
"2023-05-22 15:05:46 GMT+0300","12222"
"2023-05-22 15:05:44 GMT+0300","11222"
"2023-05-22 15:05:42 GMT+0300","21122"
"2023-05-22 15:05:40 GMT+0300","22112"
"2023-05-22 15:05:38 GMT+0300","22211"
"2023-05-22 15:05:36 GMT+0300","22221"
"2023-05-22 15:05:34 GMT+0300","22222"
"2023-05-22 15:05:32 GMT+0300","12222"
"2023-05-22 15:05:30 GMT+0300","11222"
"2023-05-22 15:05:29 GMT+0300","21122"
"2023-05-22 15:05:26 GMT+0300","22112"
"2023-05-22 15:05:24 GMT+0300","12211"
"2023-05-22 15:05:22 GMT+0300","21221"
"2023-05-22 15:05:20 GMT+0300","12122"
"2023-05-22 15:05:18 GMT+0300","21212"
"2023-05-22 15:05:16 GMT+0300","12121"
"2023-05-22 15:05:14 GMT+0300","11212"
"2023-05-22 15:05:12 GMT+0300","11121"
"2023-05-22 15:05:10 GMT+0300","11112"
"2023-05-22 15:05:08 GMT+0300","11111"
"2023-05-22 15:05:06 GMT+0300","21111"
"2023-05-22 15:05:04 GMT+0300","12111"
"2023-05-22 15:05:02 GMT+0300","21211"
"2023-05-22 15:05:00 GMT+0300","12121"
"2023-05-22 15:04:58 GMT+0300","11212"
"2023-05-22 15:04:56 GMT+0300","11121"
"2023-05-22 15:04:54 GMT+0300","21112"
"2023-05-22 15:04:52 GMT+0300","22111"
"2023-05-22 15:04:50 GMT+0300","12211"
"2023-05-22 15:04:48 GMT+0300","11221"
"2023-05-22 15:04:46 GMT+0300","11122"
"2023-05-22 15:04:44 GMT+0300","11112"
"2023-05-22 15:04:42 GMT+0300","11111"
"2023-05-22 15:04:40 GMT+0300","21111"
"2023-05-22 15:04:38 GMT+0300","22111"
"2023-05-22 15:04:36 GMT+0300","12211"
"2023-05-22 15:04:34 GMT+0300","21221"
"2023-05-22 15:04:32 GMT+0300","22122"
"2023-05-22 15:04:30 GMT+0300","22212"
"2023-05-22 15:04:28 GMT+0300","22221"
"2023-05-22 15:04:26 GMT+0300","12222"
"2023-05-22 15:04:24 GMT+0300","11222"
"2023-05-22 15:04:22 GMT+0300","11122"
"2023-05-22 15:04:20 GMT+0300","11112"
"2023-05-22 15:04:18 GMT+0300","11111"
"2023-05-22 15:04:16 GMT+0300","21111"
"2023-05-22 15:04:14 GMT+0300","12111"
"2023-05-22 15:04:12 GMT+0300","21211"
"2023-05-22 15:04:10 GMT+0300","22121"
"2023-05-22 15:04:08 GMT+0300","12212"
"2023-05-22 15:04:06 GMT+0300","21221"
"2023-05-22 15:04:04 GMT+0300","12122"
"2023-05-22 15:04:02 GMT+0300","11212"
"2023-05-22 15:04:00 GMT+0300","21121"
